MessageProcessed,Tags
tentei fazer um saque no caixa TIME e pediu uma senha alfabetica,VERB VERB ART SUBS PREP SUBS SUBS CONJ VERB ART SUBS ADJ
quantos custa um pacote com internet,PRON VERB ART SUBS PREP SUBS
porque não sou elegivel ao emprestimo ?,CONJ ADV VERB ADJ PREP SUBS PON
qual o número consigo falar com atendente ?,INT ART SUBS VERB VERB PREP SUBS PON
já tenho o cartão .,ADV VERB ART SUBS PON
não estou com o aviso em mãos do mês NUMBER no valor de NUMBER,ADV VERB PREP ART VERB PREP SUBS PREP SUBS NUM PREP SUBS PREP NUM
favor cancelar o item pendente do meu pedido PHONE,SUBS VERB ART SUBS ADJ PREP PRON SUBS SUBS
entendi . porque no site diz NUMBER horas,VERB PON CONJ PREP SUBS VERB NUM SUBS
meu deus ! pode me mandar de novo ?,PRON SUBS PON VERB PRON VERB PREP ADJ PON
"olá welington , quero tirar uma duvida . . .",INT SUBS PON VERB VERB ART VERB PON PON PON
tem uma transferência pendente de NUMBER,VERB ART SUBS ADJ PREP NUM
não consegue ver minha foto ?,ADV VERB VERB PRON SUBS PON
você pode me ligar ? ? ?,PRON VERB PRON VERB PON PON PON
esse e o comprovante pago DATE,PRON CONJ ART SUBS VERB SUBS
a página de login não carrega,ART SUBS PREP SUBS ADV VERB
eu queria mudar a loja,PRON VERB VERB ART SUBS
beleza a net tá lenta,SUBS ART SUBS INT ADJ
quero pagar a parcela do mês de fevereiro,VERB VERB ART SUBS PREP SUBS PREP SUBS
não consegui responder a pesquisa .,ADV VERB VERB ART SUBS PON
o número do titular do cartão tambem ?,ART SUBS PREP ADJ PREP SUBS SUBS PON
bom dia ! consigo rastrear o envio da minha maquininha safrapay ?,ADJ SUBS PON VERB VERB ART VERB PREP PRON SUBS SUBS PON
seria NUMBER da manhã do outro dia,VERB NUM PREP SUBS PREP PRON SUBS
de NUMBER parcelas de NUMBER,PREP NUM SUBS PREP NUM
não consigo autorizar o site porque após colocar a senha ele não funciona o confirmar,ADV VERB VERB ART SUBS CONJ PREP VERB ART SUBS PRON ADV VERB ART SUBS
tem de MEASURE não ? ?,VERB PREP SUBS ADV PON PON
"agora não porque tô no trânsito ,",ADV ADV CONJ VERB PREP SUBS PON
mandem por email o crédito,VERB PREP SUBS ART SUBS
outro NUMBER código de segurança,PRON NUM SUBS PREP SUBS
vocês me falaram isso no dia NUMBER,PRON PRON VERB PRON PREP SUBS NUM
porque não consigo sinal MEASURE na cidade de jundiaí ?,CONJ ADV VERB SUBS SUBS PREP SUBS PREP SUBS PON
ficou nítido a foto ?,VERB ADJ ART SUBS PON
facebook login EMAIL instagram login vossa . majestade,SUBS SUBS SUBS SUBS SUBS PRON PON SUBS
e não no nome do hotel,CONJ ADV PREP SUBS PREP SUBS
estou quase NUMBER mês tentando pagar mas não consigo,VERB ADV NUM SUBS VERB VERB CONJ ADV VERB
bom dia . eu já finalizei todos os pagamento dos boletos,ADJ SUBS PON PRON ADV VERB PRON ART SUBS PREP SUBS
"estou tentando fazer uma transferência , mais não estou conseguindo .",VERB VERB VERB ART SUBS PON ADV ADV VERB VERB PON
recebi um cupom por email hoje com 10 dia do aniversario . mas não funciona .,VERB ART SUBS PREP SUBS ADV PREP SUBS SUBS PREP ADJ PON CONJ ADV VERB PON
tem uma vende de NUMBER,VERB ART VERB PREP NUM
não quero mais tel fixo na minha casa,ADV VERB ADV SUBS ADJ PREP PRON VERB
gostaria de quitas minhas ultimas parcelas !,VERB PREP VERB PRON SUBS SUBS PON
eu já tenho NUMBER gigas,PRON ADV VERB NUM SUBS
o valor dos exames ?,ART SUBS PREP SUBS PON
as taxas estão alta e hoje encontro taxa menor no mercado .,ART SUBS VERB ADJ CONJ ADV VERB SUBS ADJ PREP SUBS PON
não . consegui não . sei . qual . o . valor . do . empréstimo . quero . 5 . mil,ADV PON VERB ADV PON VERB PON INT PON ART PON SUBS PON PREP PON SUBS PON VERB PON SUBS PON NUM
"saldo disponível , entradas . . .",SUBS ADJ PON SUBS PON PON PON
fiz um novo pedido no cnpj,VERB ART ADJ SUBS PREP SUBS
"portabilidade , gostaria de receber uma ligação",SUBS PON VERB PREP VERB ART SUBS
você tem acesso ao meu saldo ?,PRON VERB VERB PREP PRON SUBS PON
número de documento é o número do contrato ?,SUBS PREP SUBS VERB ART SUBS PREP SUBS PON
"por favor , não consigo acessar o meu login",PREP SUBS PON ADV VERB VERB ART PRON SUBS
posso pagar a primeira parcela em abril ?,VERB VERB ART ADJ SUBS PREP SUBS PON
NUMBER essa é a minha realidade atual,NUM PRON VERB ART PRON SUBS ADJ
e perdi meu email e minha senha do bv,CONJ VERB PRON SUBS CONJ PRON SUBS PREP SUBS
não tem mais a opção recebimento em um dia ?,ADV VERB ADV ART SUBS SUBS PREP ART SUBS PON
estou precisando cancelar uma reserva . .,VERB VERB VERB ART SUBS PON PON
EMAIL NUMBER quero limite de crédito,SUBS NUM VERB VERB PREP SUBS
ele funcionará hoje já ? ? ?,PRON VERB ADV ADV PON PON PON
mais gostaria de estornar o valor,ADV VERB PREP VERB ART SUBS
"olá , hoje recebi um aviso de débito no cartão referente a multa de trânsito , por favor me envie a cópia da multa",INT PON ADV VERB ART VERB PREP SUBS PREP SUBS ADJ ART SUBS PREP SUBS PON PREP SUBS PRON VERB ART SUBS PREP SUBS
sim com o número NUMBER PHONE,INT PREP ART SUBS NUM SUBS
crédito com veículo em garantia bv,SUBS PREP SUBS PREP VERB SUBS
no site vi MEASURE por NUMBER,PREP SUBS VERB SUBS PREP NUM
houve algum problema com minha conta ?,VERB PRON SUBS PREP PRON VERB PON
"sim , mais quero um desconto",INT PON ADV VERB ART SUBS
cliente paga alguma taxa ?,SUBS VERB PRON SUBS PON
"agradeço , mas consegui agendar em outra empresa .",VERB PON CONJ VERB VERB PREP PRON SUBS PON
"mas , é um curso . não vou receber por correio",CONJ PON VERB ART SUBS PON ADV VERB VERB PREP SUBS
olá não estou conseguindo desbloquear meu cartão,INT ADV VERB VERB VERB PRON SUBS
mais de MEASURE e não libera o saque,ADV PREP SUBS CONJ ADV VERB ART SUBS
horário de funcionamento do dia DATE,ADJ PREP SUBS PREP SUBS SUBS
"lucas soares de oliveira , DATE",SUBS SUBS PREP SUBS PON SUBS
eu quiser ter informação sobre isso da emissão e código localizador porque não estou entendendo,PRON VERB VERB SUBS PREP PRON PREP SUBS CONJ SUBS SUBS CONJ ADV VERB VERB
mas você não ia ajudar . . . . . . . . ? . . . . .,CONJ PRON ADV VERB VERB PON PON PON PON PON PON PON PON PON PON PON PON PON PON
e do mês NUMBER no final do mês,CONJ PREP SUBS NUM PREP ADJ PREP SUBS
desculpa pode ser dia NUMBER,INT VERB VERB SUBS NUM
dá pra ativar por telefone .,VERB PREP VERB PREP SUBS PON
mas apenas essas NUMBER marcas interessam,CONJ ADV PRON NUM VERB VERB
não estou conseguindo trocar minha conta bancária,ADV VERB VERB VERB PRON VERB ADJ
o nome da pessoa é raquel,ART SUBS PREP SUBS VERB SUBS
e me foi enviado um boleto com o fim do contrato ! !,CONJ PRON VERB VERB ART SUBS PREP ART SUBS PREP SUBS PON PON
posso receber transferência de outro banco na minha conta da pagseguro ?,VERB VERB SUBS PREP PRON SUBS PREP PRON VERB PREP SUBS PON
me envie o boleto pelo email EMAIL,PRON VERB ART SUBS PREP SUBS SUBS
já paguei hoje dia NUMBER - NUMBER NUMBER,ADV VERB ADV SUBS NUM SIMB NUM NUM
"por exemplo , mudar ai no seu sistema",PREP SUBS PON VERB INT PREP PRON SUBS
quero por crédito pra mim não tô conseguindo,VERB PREP SUBS PREP PRON ADV VERB VERB
pode ficar pra data do dia NUMBER NUMBER,VERB VERB PREP SUBS PREP SUBS NUM NUM
qual o dia você tem !,INT ART SUBS PRON VERB PON
estou querendo alugar um carro dos dias NUMBER ao dia NUMBER de maio,VERB VERB SUBS ART SUBS PREP SUBS NUM PREP SUBS NUM PREP SUBS
"não , eu sou o mineirinho",ADV PON PRON VERB ART SUBS
sim ! ! em um moto CODE ! !,INT PON PON PREP ART SUBS SUBS PON PON
eu comprei a maquina de cartão e ela não foi entregue,PRON VERB ART SUBS PREP SUBS CONJ PRON ADV VERB VERB
"sim , mas estou recebendo cobrança por email de fatura vencida em DATE .",INT PON CONJ VERB VERB SUBS PREP SUBS PREP SUBS ADJ PREP SUBS PON
quero proposta de banda larga e tv .,VERB SUBS PREP SUBS ADJ CONJ SUBS PON
solicitamos ontem o saldo mas não foi localizado,VERB ADV ART SUBS CONJ ADV VERB VERB
a uns NUMBER ou NUMBER minutos,ART ART NUM CONJ NUM SUBS
data de vencimento NUMBER do nove de NUMBER,SUBS PREP SUBS NUM PREP NUM PREP NUM
"eu pagaria NUMBER , mais NUMBER por cada dependente ?",PRON VERB NUM PON ADV NUM PREP PRON ADJ PON
"já liguei , e eles pediram pra entrar em contato com vocês",ADV VERB PON CONJ PRON VERB PREP VERB PREP SUBS PREP PRON
você tem aparelho ? ? qual e o pagamento pode vir junto com a fatura no boleto ?,PRON VERB SUBS PON PON INT CONJ ART SUBS VERB VERB ADJ PREP ART SUBS PREP SUBS PON
"eu não queria abrir conta , já possuo uma .",PRON ADV VERB VERB VERB PON ADV VERB ART PON
"já mandei mensagem pra lá , mas nunca responderam",ADV VERB SUBS PREP ADV PON CONJ ADV VERB
mulher eu envie um NUMBER já,SUBS PRON VERB ART NUM ADV
"mas enfim , não recebi nenhum comunicado de cancelamento",CONJ ADV PON ADV VERB PRON VERB PREP SUBS
é porque nunca aluguel carro .,VERB CONJ ADV SUBS SUBS PON
consigo sacar o dinheiro no caixa MEASURE,VERB VERB ART SUBS PREP SUBS SUBS
"ola , meu nome é fernanda",INT PON PRON SUBS VERB SUBS
qual número dei pra vocês,INT SUBS VERB PREP PRON
você faz com a opção de NUMBER de desconto na entrada,PRON VERB PREP ART SUBS PREP NUM PREP SUBS PREP SUBS
mas não fiz confirmação manual,CONJ ADV VERB SUBS ADJ
posso mudar a data de pagamento das parcelas,VERB VERB ART SUBS PREP SUBS PREP SUBS
tem vagas de emprego ?,VERB ADJ PREP SUBS PON
estou mais de NUMBER dias sem telefone,VERB ADV PREP NUM SUBS PREP SUBS
e o atendente no chat anterior me ofereceu via chip,CONJ ART SUBS PREP SUBS ADJ PRON VERB SUBS SUBS
status da transação . . . estorno cancelado,SUBS PREP SUBS PON PON PON SUBS VERB
"e mais , estão ligando no telefone da minha empresa .",CONJ ADV PON VERB VERB PREP SUBS PREP PRON SUBS PON
estou tentando decidir qual comprar,VERB VERB VERB INT VERB
mas a nova linha não pode ser com esse numero ?,CONJ ART ADJ SUBS ADV VERB VERB PREP PRON SUBS PON
meus pais haviam feito uma reserva separada,PRON SUBS VERB ADJ ART SUBS ADJ
"qualquer coisa , volto a entrar em contato",PRON SUBS PON VERB ART VERB PREP SUBS
em qual número ela entra em contato ?,PREP INT SUBS PRON VERB PREP SUBS PON
e meu número é NUMBER NUMBER PHONE,CONJ PRON SUBS VERB NUM NUM SUBS
"nunca usei maquina de cartão , comprei a minizinha chip",ADV VERB SUBS PREP SUBS PON VERB ART SUBS SUBS
tenho um pedido agendado pra hoje,VERB ART SUBS VERB PREP ADV
gostaria de fazer portabilidade do meu numero,VERB PREP VERB SUBS PREP PRON SUBS
estou com um valor e não consigo antecipar,VERB PREP ART SUBS CONJ ADV VERB VERB
não está passando cartão de débito da caixa econômica,ADV VERB VERB SUBS PREP SUBS PREP SUBS ADJ
estou aguardando atendimento em outros assuntos e não me atendem .,VERB VERB SUBS PREP PRON SUBS CONJ ADV PRON VERB PON
me deram um código de rastreio,PRON VERB ART SUBS PREP SUBS
verificação já tem NUMBER mês,SUBS ADV VERB NUM SUBS
vocês faz toda a alteração ?,PRON VERB PRON ART SUBS PON
"sim , tem esse contato também NUMBER",INT PON VERB PRON SUBS ADV NUM
quero resolver agora está pago não vou ficar correndo atrás disso .,VERB VERB ADV VERB VERB ADV VERB VERB VERB ADV PRON PON
pra entregar no dia NUMBER,PREP VERB PREP SUBS NUM
me mande o boleto sempre mais antecipado,PRON VERB ART SUBS ADV ADV ADJ
é essa a placa . . .,VERB PRON ART SUBS PON PON PON
"não gostaria prefiro no nome da cada um , mas o débito na minha conta",ADV VERB VERB PREP SUBS PREP PRON ART PON CONJ ART SUBS PREP PRON VERB
mas vai dar tempo ?,CONJ VERB VERB SUBS PON
meu nome é quellen .,PRON SUBS VERB SUBS PON
o valor e por cada aula ou mensal ?,ART SUBS CONJ PREP PRON SUBS CONJ ADJ PON
você pode alterar meu fone ?,PRON VERB VERB PRON SUBS PON
já seguir todos os passos mas não estão enviado o código,ADV VERB PRON ART SUBS CONJ ADV VERB VERB ART SUBS
informando ser apenas NUMBER dias,VERB VERB ADV NUM SUBS
queria um contato via telefone,VERB ART SUBS SUBS SUBS
de quantas vezes sem juros ?,PREP PRON SUBS PREP SUBS PON
o meu cartão foi qual ?,ART PRON SUBS VERB INT PON
qual tempo de fidelidade ?,INT SUBS PREP SUBS PON
você saberia sim eu posso utilizar ele sim problema ?,PRON VERB INT PRON VERB VERB PRON INT SUBS PON
não quero receber no email,ADV VERB VERB PREP SUBS
eu quero quitar meu financiamento alguém pode me ajudar ?,PRON VERB VERB PRON SUBS PRON VERB PRON VERB PON
posso pagar amanhã esse boleto ?,VERB VERB ADV PRON SUBS PON
"meu cartão da conta , débito , não funciona",PRON SUBS PREP VERB PON SUBS PON ADV VERB
queria essa de NUMBER safra móvel com bobina MEASURE,VERB PRON PREP NUM SUBS ADJ PREP SUBS SUBS
em NUMBER dias você liga pra me,PREP NUM SUBS PRON VERB PREP PRON
fiz um pedido hoje PHONE,VERB ART SUBS ADV SUBS
"vocês já mim enviaram diversos lugares pra está fazendo , o exame , mas nenhum dos lugares realizam esse exame",PRON ADV PRON VERB ADJ SUBS PREP VERB VERB PON ART SUBS PON CONJ PRON PREP SUBS VERB PRON SUBS
EMAIL envie o boleto pra esse e-mail,SUBS VERB ART SUBS PREP PRON SUBS
pode entregar qualquer horário !,VERB VERB PRON ADJ PON
sempre comprei livros de vocês e isso nunca aconteceu .,ADV VERB SUBS PREP PRON CONJ PRON ADV VERB PON
eliane carvalho de sousa cpf NUMBER,SUBS SUBS PREP SUBS SUBS NUM
acabei de mandar de novo os NUMBER contratos,VERB PREP VERB PREP ADJ ART NUM SUBS
"já mandei a opção NUMBER , aguardo a resposta .",ADV VERB ART SUBS NUM PON VERB ART SUBS PON
está com problemas o site,VERB PREP SUBS ART SUBS
"bom dia , cpf CPF tel NUMBER PHONE email EMAIL",ADJ SUBS PON SUBS SUBS SUBS NUM SUBS SUBS SUBS
é o número de serie do sim card ?,VERB ART SUBS PREP SUBS PREP INT SUBS PON
não estou recebendo senha de confirmação,ADV VERB VERB SUBS PREP SUBS
ontem vi sobre internet ilimitada,ADV VERB PREP SUBS ADJ
bom dia o boleto já vou pago dia NUMBER,ADJ SUBS ART SUBS ADV VERB VERB SUBS NUM
"os boletos de negociação da mensalidade de fevereiro , não aparecem mais no site",ART SUBS PREP SUBS PREP SUBS PREP SUBS PON ADV VERB ADV PREP SUBS
ficaram de me dar uma resposta dia NUMBER,VERB PREP PRON VERB ART SUBS SUBS NUM
obrigada ! vou tentar via telefone ou pessoalmente,ADJ PON VERB VERB SUBS SUBS CONJ ADV
o danilo também pode receber,ART SUBS ADV VERB VERB
primeira parcela no dia DATE,ADJ SUBS PREP SUBS SUBS
meu app não funciona ! !,PRON SUBS ADV VERB PON PON
você poderia me passar pra dayane ?,PRON VERB PRON VERB PREP SUBS PON
quero a NUMBER via do boleto porque não consegui imprimir pelo site,VERB ART NUM SUBS PREP SUBS CONJ ADV VERB VERB PREP SUBS
"sobre uso no app , da qual não está indo o cupom de desconto",PREP VERB PREP SUBS PON PREP INT ADV VERB VERB ART SUBS PREP SUBS
não tem a NUMBER ?,ADV VERB ART NUM PON
tem algum número pra rastreio ?,VERB PRON SUBS PREP SUBS PON
"obrigada , essa pessoa faz diferença .",ADJ PON PRON SUBS VERB SUBS PON
qual o valor mínimo ?,INT ART SUBS ADJ PON
posso comprar em qualquer lugar com esse cartão visa,VERB VERB PREP PRON VERB PREP PRON SUBS SUBS
"sou eu , isabela lemes ferreira",VERB PRON PON SUBS SUBS SUBS
você pode ver o número de telefone NUMBER,PRON VERB VERB ART SUBS PREP SUBS NUM
"NUMBER sim , sou eu",NUM INT PON VERB PRON
eu receberei retorno de vocês ?,PRON VERB VERB PREP PRON PON
larga isso não quero mas,ADJ PRON ADV VERB CONJ
ou no dia DATE ?,CONJ PREP SUBS SUBS PON
NUMBER sandra da silva gonzaga NUMBER EMAIL,NUM SUBS PREP SUBS SUBS NUM SUBS
meu telefone pra contato é : PHONE,PRON SUBS PREP SUBS VERB PON SUBS
"pra fazer a analise , a primeira consulta , é paga ?",PREP VERB ART VERB PON ART ADJ SUBS PON VERB VERB PON
está constando uma fatura em aberto,VERB VERB ART SUBS PREP ADJ
queria ver sobre pagamentos .,VERB VERB PREP SUBS PON
eu estou em qual perfil ?,PRON VERB PREP INT SUBS PON
liguei minha maquineta e apareceu isso,VERB PRON SUBS CONJ VERB PRON
um é comercial e o outro pessoal,ART VERB ADJ CONJ ART PRON ADJ
a data do meu boleto é pra hoje dia DATE,ART SUBS PREP PRON SUBS VERB PREP ADV SUBS SUBS
NUMBER PHONE exclui NUMBER PHONE por favor,NUM SUBS VERB NUM SUBS PREP SUBS
vou conversar com o meu marido e retorno com vocês,VERB VERB PREP ART PRON SUBS CONJ VERB PREP PRON
NUMBER cartão da conta não veio junto,NUM SUBS PREP VERB ADV VERB ADJ
eu consigo pagar uma conta no valor de NUMBER,PRON VERB VERB ART VERB PREP SUBS PREP NUM
o meu é NUMBER mega,ART PRON VERB NUM SUBS
quero ativa essa internet de MEASURE por NUMBER por NUMBER dias,VERB ADJ PRON SUBS PREP SUBS PREP NUM PREP NUM SUBS
aí vou lá ele pede o número da conta,ADV VERB ADV PRON VERB ART SUBS PREP VERB
dia NUMBER já tenho um exame agendado em outro local,SUBS NUM ADV VERB ART SUBS VERB PREP PRON ADJ
ontem fiquei de passar o número da máquina,ADV VERB PREP VERB ART SUBS PREP SUBS
porque por esse . motivo adquiri a maquina,CONJ PREP PRON PON SUBS VERB ART SUBS
meu cartão e o visa internacional conta .,PRON SUBS CONJ ART SUBS ADJ VERB PON
está em nome de geraldo nunes simoes cpf NUMBER,VERB PREP SUBS PREP SUBS SUBS SUBS SUBS NUM
contrato não está em mãos,SUBS ADV VERB PREP SUBS
número NUMBER NUMBER NUMBER NUMBER NUMBER,SUBS NUM NUM NUM NUM NUM
quero da entrada de NUMBER mil,VERB PREP SUBS PREP NUM NUM
me falaram de NUMBER a NUMBER horas,PRON VERB PREP NUM ART NUM SUBS
eu já pedi o empréstimo,PRON ADV VERB ART SUBS
e vocês me mandaram no valor de NUMBER,CONJ PRON PRON VERB PREP SUBS PREP NUM
essa dívida vai ficar no serasa ? ? ?,PRON SUBS VERB VERB PREP SUBS PON PON PON
"estou a NUMBER dias sem passar cartão , pois a máquina não carrega .",VERB ART NUM SUBS PREP VERB SUBS PON CONJ ART SUBS ADV VERB PON
a futura tá lá em casa,ART ADJ INT ADV PREP VERB
a parcela de NUMBER não passou pelo pan ?,ART SUBS PREP NUM ADV VERB PREP SUBS PON
"não vai dar , não tenho habilitação .",ADV VERB VERB PON ADV VERB SUBS PON
"sou eu de novo , guilherme .",VERB PRON PREP ADJ PON SUBS PON
e hoje pela manha falei com manoela,CONJ ADV PREP SUBS VERB PREP SUBS
não seria possível mandar também um carregador ?,ADV VERB ADJ VERB ADV ART SUBS PON
fiquei NUMBER minutos na espera e ninguém atendeu,VERB NUM SUBS PREP VERB CONJ PRON VERB
em tão os sms não está chegando com a senha do cartão,PREP ADV ART SUBS ADV VERB VERB PREP ART SUBS PREP SUBS
qual é o cpf da maria ?,INT VERB ART SUBS PREP SUBS PON
mas eu cancelei o número ontem com a nextel,CONJ PRON VERB ART SUBS ADV PREP ART SUBS
meu cartão não veio junto com a máquina minizinha chip NUMBER,PRON SUBS ADV VERB ADJ PREP ART SUBS SUBS SUBS NUM
"por favor , enviem o boleto pra pagamento no meu email pois estou sem de",PREP SUBS PON VERB ART SUBS PREP SUBS PREP PRON SUBS CONJ VERB PREP PREP
pois estou com algumas dúvidas,CONJ VERB PREP PRON SUBS
esqueci minha senha do cartão pag seguro,VERB PRON SUBS PREP SUBS SUBS ADJ
quero mandar leitura qual dia devo mandar a leitura ?,VERB VERB SUBS INT SUBS VERB VERB ART SUBS PON
não tem loja na minha região,ADV VERB SUBS PREP PRON SUBS
mas essa fila não acaba nunca,CONJ PRON SUBS ADV VERB ADV
sim ! sou cliente nextel .,INT PON VERB SUBS SUBS PON
e o mês NUMBER ?,CONJ ART SUBS NUM PON
"posso tirar agora , um momento .",VERB VERB ADV PON ART SUBS PON
NUMBER PHONE esse é meu também,NUM SUBS PRON VERB PRON ADV
qual será o valor das parcelas ?,INT VERB ART SUBS PREP SUBS PON
pode ser no cartão de crédito ? ? ?,VERB VERB PREP SUBS PREP SUBS PON PON PON
"sim , um cartão de crédito meu pessoal , nessa empresa do pag seguro",INT PON ART SUBS PREP SUBS PRON ADJ PON PREP SUBS PREP SUBS ADJ
o de NUMBER gb NUMBER com 5 de desconto no débito,ART PREP NUM SUBS NUM PREP SUBS PREP SUBS PREP SUBS
teria outra ? ou somente está ?,VERB PRON PON CONJ ADV VERB PON
número do cliente : NUMBER NUMBER NUMBER NUMBER NUMBER,SUBS PREP SUBS PON NUM NUM NUM NUM NUM
não estou conseguindo prosseguir com o pedido de alteração .,ADV VERB VERB VERB PREP ART SUBS PREP SUBS PON
"pra isso não , sempre resolvi pelo aplicativo ou na internet",PREP PRON ADV PON ADV VERB PREP SUBS CONJ PREP SUBS
meu saldo está em NUMBER e vocês me enviaram um boleto,PRON SUBS VERB PREP NUM CONJ PRON PRON VERB ART SUBS
o do cartão da caixa ?,ART PREP SUBS PREP SUBS PON
tá aí entro em contato com os correios é isso ? ? ?,INT ADV VERB PREP SUBS PREP ART SUBS VERB PRON PON PON PON
não sei o codigo ! ! !,ADV VERB ART SUBS PON PON PON
vocês podem fazer isso ?,PRON VERB VERB PRON PON
bom dia . gostaria de receber meu resultado de exame .,ADJ SUBS PON VERB PREP VERB PRON SUBS PREP SUBS PON
pedido NUMBER alterar o exame,SUBS NUM VERB ART SUBS
algum atendimento ? por favor ? ? ? ?,PRON SUBS PON PREP SUBS PON PON PON PON
o NUMBER desliga o telefone,ART NUM VERB ART SUBS
já sou cadastrado com vocês .,ADV VERB VERB PREP PRON PON
gostaria de verificar com vocês a situação da cliente ivana,VERB PREP VERB PREP PRON ART SUBS PREP SUBS SUBS
já paguei a minha dívida,ADV VERB ART PRON SUBS
ela é funcionaria da empresa ?,PRON VERB VERB PREP SUBS PON
a retira em loja é NUMBER horas ?,ART VERB PREP SUBS VERB NUM SUBS PON
fazer a transferência do valor ! tem um prazo nessa taxa zero,VERB ART SUBS PREP SUBS PON VERB ART SUBS PREP SUBS NUM
posso incluir minha esposa nessa conta,VERB VERB PRON SUBS PREP VERB
e a margem complementar ?,CONJ ART SUBS ADJ PON
pode ou não me ajudar ?,VERB CONJ ADV PRON VERB PON
pode ser da caixa ?,VERB VERB PREP SUBS PON
local pode ser no aeroporto de campinas,ADJ VERB VERB PREP SUBS PREP SUBS
gostaria de me cadastra no prezão NUMBER,VERB PREP PRON VERB PREP SUBS NUM
meu cep NUMBER NUMBER NUMBER,PRON SUBS NUM NUM NUM
não não tem outro ?,ADV ADV VERB PRON PON
"NUMBER PHONE cariacica , km NUMBER .",NUM SUBS SUBS PON SUBS NUM PON
posso agendar os NUMBER dias restantes ?,VERB VERB ART NUM SUBS ADJ PON
pois não lembrei a senha e não tem e-mail cadastrado .,CONJ ADV VERB ART SUBS CONJ ADV VERB SUBS VERB PON
NUMBER minutos e já desliga,NUM SUBS CONJ ADV VERB
minha esposa faleceu em MEASURE janeiro,PRON SUBS VERB PREP SUBS SUBS
posso carregar minha máquininha pra qualquer lugar,VERB VERB PRON SUBS PREP PRON VERB
"recebi meu chip , mais não consigo ativar ! ! ! ! ! !",VERB PRON SUBS PON ADV ADV VERB VERB PON PON PON PON PON PON
porque a maquina também era NUMBER dias . e deu mais de NUMBER mes .,CONJ ART SUBS ADV VERB NUM SUBS PON CONJ VERB ADV PREP NUM SUBS PON
"mas , eu fiz uma retirada de MONEY",CONJ PON PRON VERB ART VERB PREP SUBS
? ? ? ? tenho NUMBER dependentes na minha linha,PON PON PON PON VERB NUM ADJ PREP PRON SUBS
com quantos dias eu não pago essa taxa ?,PREP PRON SUBS PRON ADV VERB PRON SUBS PON
o outro será aprovado ?,ART PRON VERB VERB PON
qual a empresa referente esse debito ?,INT ART SUBS ADJ PRON VERB PON
recarregar valores todos os dias,VERB SUBS PRON ART SUBS
eu já tenho outro vinculado a conta !,PRON ADV VERB PRON VERB ART VERB PON
estou aguardando a NUMBER minutos atendimento,VERB VERB ART NUM SUBS SUBS
DATE - DATE - DATE - DATE,SUBS SIMB SUBS SIMB SUBS SIMB SUBS
posso alterar a senha do cartao ?,VERB VERB ART SUBS PREP SUBS PON
NUMBER victoria louise de oliveira pires e freitas,NUM SUBS SUBS PREP SUBS SUBS CONJ SUBS
seria referente ao envio de documentos .,VERB ADJ PREP VERB PREP SUBS PON
existe a possibilidade de renovacao automatica ?,VERB ART SUBS PREP SUBS ADJ PON
pedir o cancelamento da maquininha,VERB ART SUBS PREP SUBS
gostaria de consulta o cpf do meu esposo,VERB PREP SUBS ART SUBS PREP PRON SUBS
mas no aplicativo da normal,CONJ PREP SUBS PREP ADJ
mas não consigo concluir atualização pois aparece erros,CONJ ADV VERB VERB SUBS CONJ VERB SUBS
esse é o número do sinistro NUMBER,PRON VERB ART SUBS PREP ADJ NUM
mas hoje já funciona ?,CONJ ADV ADV VERB PON
posso pagar boleto com o saldo da minha conta ?,VERB VERB SUBS PREP ART SUBS PREP PRON VERB PON
"estou com dúvida na minha senha do cartão , porque não me lembro",VERB PREP SUBS PREP PRON SUBS PREP SUBS PON CONJ ADV PRON VERB
não teve resposta da minha pergunta,ADV VERB SUBS PREP PRON VERB
estou tentando desde as NUMBER horas,VERB VERB PREP ART NUM SUBS
segue o boleto pago .,SUBS ART SUBS VERB PON
pode emitir o boleto no CPF,VERB VERB ART SUBS PREP SUBS
vence dia NUMBER eu estou ciente deste boleto,VERB SUBS NUM PRON VERB ADJ VERB SUBS
e também tá chegando uma mensagem de NUMBER via de boleto pra mim,CONJ ADV INT VERB ART SUBS PREP NUM SUBS PREP SUBS PREP PRON
lá . nao tá aparecendo pra pedir outro não,ADV PON ADV INT VERB PREP VERB PRON ADV
número de serie é CODE,SUBS PREP SUBS VERB SUBS
não . obrigada e tenha um bom dia,ADV PON ADJ CONJ VERB ART ADJ SUBS
mas o boleto foi confirmado ?,CONJ ART SUBS VERB VERB PON
a maquina sera enviada hoje,ART SUBS VERB VERB ADV
e o cartão visa de crédito,CONJ ART SUBS SUBS PREP SUBS
queria informações sobre custos de máquina mensalidade as taxas,VERB SUBS PREP SUBS PREP SUBS SUBS ART SUBS
no chip qual o número do meu pedido,PREP SUBS INT ART SUBS PREP PRON SUBS
esse número é da minha namorada,PRON SUBS VERB PREP PRON ADJ
quero pagar uma . conta com meu saldo,VERB VERB ART PON VERB PREP PRON SUBS
"eu fiz o cartão pelo site , mas ela não foi aprovado",PRON VERB ART SUBS PREP SUBS PON CONJ PRON ADV VERB VERB
você consegue me ligar TIME ?,PRON VERB PRON VERB SUBS PON
"e não completa as transacoes , ai no final da falha de comunicacao",CONJ ADV ADJ ART SUBS PON INT PREP ADJ PREP ADJ PREP SUBS
já tentei usar não estou conseguindo,ADV VERB VERB ADV VERB VERB
